"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 07- 14","39,092,000","40,101,000","40,220,000","38,714,000","5.75K","-2.54%"
"2023- 07- 13","40,109,000","39,803,000","40,418,000","39,357,000","7.97K","0.77%"
"2023- 07- 12","39,804,000","40,140,000","40,567,000","39,751,000","3.24K","-0.84%"
"2023- 07- 11","40,140,000","40,060,000","40,380,000","39,946,000","2.54K","0.22%"
"2023- 07- 10","40,050,000","39,832,000","40,781,000","39,668,000","2.83K","0.55%"
"2023- 07- 09","39,832,000","40,154,000","40,287,000","39,770,000","1.49K","-0.79%"
"2023- 07- 08","40,149,000","40,241,000","40,252,000","39,920,000","1.30K","-0.23%"
"2023- 07- 07","40,240,000","39,864,000","40,321,000","39,699,000","2.69K","0.94%"
"2023- 07- 06","39,867,000","40,385,000","41,499,000","39,839,000","5.76K","-1.31%"
"2023- 07- 05","40,398,000","40,608,000","40,775,000","39,801,000","3.59K","-0.54%"
"2023- 07- 04","40,618,000","41,200,000","41,385,000","40,543,000","3.23K","-1.41%"
"2023- 07- 03","41,200,000","40,667,000","41,376,000","40,478,000","3.28K","1.32%"
"2023- 07- 02","40,665,000","40,747,000","40,858,000","40,271,000","2.24K","-0.06%"
"2023- 07- 01","40,691,000","40,552,000","40,877,000","40,393,000","2.71K","0.36%"
"2023- 06- 30","40,546,000","40,579,000","41,568,000","39,500,000","8.59K","-0.09%"
"2023- 06- 29","40,583,000","40,010,000","41,044,000","39,997,000","3.49K","1.41%"
"2023- 06- 28","40,020,000","40,583,000","40,620,000","39,970,000","2.99K","-1.40%"
"2023- 06- 27","40,587,000","40,077,000","40,944,000","39,968,000","4.13K","1.27%"
"2023- 06- 26","40,077,000","40,351,000","40,589,000","39,569,000","4.96K","-0.63%"
"2023- 06- 25","40,332,000","40,662,000","41,396,000","40,197,000","4.48K","-0.82%"
"2023- 06- 24","40,666,000","40,666,000","40,930,000","40,384,000","3.93K","0.04%"
"2023- 06- 23","40,650,000","39,124,000","41,387,000","39,124,000","8.00K","3.90%"
"2023- 06- 22","39,125,000","39,135,000","39,861,000","38,907,000","6.60K","-0.03%"
"2023- 06- 21","39,136,000","36,950,000","40,073,000","36,874,000","10.87K","5.93%"
"2023- 06- 20","36,945,000","35,097,000","37,100,000","35,000,000","5.49K","5.28%"
"2023- 06- 19","35,092,000","34,466,000","35,374,000","34,455,000","2.50K","1.82%"
"2023- 06- 18","34,465,000","34,798,000","34,939,000","34,464,000","1.58K","-0.91%"
"2023- 06- 17","34,780,000","34,501,000","35,073,000","34,324,000","2.60K","0.81%"
"2023- 06- 16","34,501,000","33,449,000","34,733,000","33,166,000","3.40K","3.15%"
"2023- 06- 15","33,447,000","33,007,000","33,617,000","32,516,000","3.84K","1.34%"
"2023- 06- 14","33,006,000","33,902,000","34,118,000","32,780,000","4.13K","-2.65%"
"2023- 06- 13","33,904,000","34,059,000","34,469,000","33,808,000","3.61K","-0.45%"
"2023- 06- 12","34,058,000","34,349,000","34,475,000","33,950,000","2.36K","-0.84%"
"2023- 06- 11","34,345,000","34,346,000","34,639,000","34,018,000","1.75K","0.00%"
"2023- 06- 10","34,346,000","34,867,000","34,910,000","33,856,000","6.04K","-1.44%"
"2023- 06- 09","34,849,000","34,996,000","35,160,000","34,809,000","2.33K","-0.38%"
"2023- 06- 08","34,982,000","34,953,000","35,414,000","34,804,000","2.37K","0.11%"
"2023- 06- 07","34,944,000","35,852,000","35,992,000","34,797,000","4.52K","-2.54%"
"2023- 06- 06","35,854,000","34,299,000","35,993,000","33,587,000","5.40K","4.53%"
"2023- 06- 05","34,300,000","35,862,000","35,896,000","33,833,000","6.81K","-4.36%"
"2023- 06- 04","35,865,000","35,888,000","36,137,000","35,824,000","1.68K","-0.06%"
"2023- 06- 03","35,888,000","36,077,000","36,100,000","35,806,000","1.93K","-0.52%"
"2023- 06- 02","36,077,000","35,823,000","36,150,000","35,472,000","3.13K","0.72%"
"2023- 06- 01","35,820,000","36,390,000","36,507,000","35,718,000","3.40K","-1.57%"
"2023- 05- 31","36,391,000","36,914,000","37,040,000","36,059,000","3.83K","-1.42%"
"2023- 05- 30","36,914,000","36,992,000","37,401,000","36,824,000","3.28K","-0.18%"
"2023- 05- 29","36,982,000","37,358,000","37,880,000","36,803,000","4.03K","-0.99%"
"2023- 05- 28","37,350,000","35,824,000","37,513,000","35,788,000","3.85K","4.26%"
"2023- 05- 27","35,823,000","35,786,000","35,898,000","35,609,000","1.92K","0.10%"
"2023- 05- 26","35,786,000","35,546,000","36,101,000","35,285,000","2.37K","0.68%"
"2023- 05- 25","35,546,000","35,450,000","35,652,000","35,000,000","3.39K","0.21%"
"2023- 05- 24","35,472,000","36,382,000","36,426,000","35,151,000","4.47K","-2.50%"
"2023- 05- 23","36,381,000","35,948,000","36,646,000","35,841,000","2.51K","1.21%"
"2023- 05- 22","35,947,000","36,050,000","36,200,000","35,715,000","2.60K","-0.29%"
"2023- 05- 21","36,051,000","36,411,000","36,618,000","36,048,000","1.57K","-0.92%"
"2023- 05- 20","36,385,000","36,156,000","36,475,000","36,120,000","1.17K","0.64%"
"2023- 05- 19","36,155,000","36,241,000","36,483,000","35,951,000","2.59K","-0.23%"
"2023- 05- 18","36,240,000","36,708,000","36,919,000","35,800,000","3.40K","-1.22%"
"2023- 05- 17","36,689,000","36,421,000","36,830,000","35,940,000","3.21K","0.74%"
"2023- 05- 16","36,419,000","36,631,000","36,789,000","36,341,000","2.09K","-0.58%"
"2023- 05- 15","36,632,000","36,406,000","37,200,000","36,205,000","2.67K","0.59%"
"2023- 05- 14","36,417,000","36,382,000","36,799,000","36,212,000","1.64K","0.12%"
"2023- 05- 13","36,374,000","36,334,000","36,661,000","36,145,000","1.87K","0.09%"
"2023- 05- 12","36,343,000","36,413,000","36,550,000","35,263,000","5.48K","-0.19%"
"2023- 05- 11","36,413,000","37,071,000","37,227,000","36,274,000","3.57K","-1.77%"
"2023- 05- 10","37,071,000","37,150,000","37,989,000","36,595,000","4.52K","-0.22%"
"2023- 05- 09","37,151,000","37,260,000","37,542,000","36,825,000","3.68K","-0.29%"
"2023- 05- 08","37,260,000","38,147,000","38,359,000","36,822,000","5.52K","-2.34%"
"2023- 05- 07","38,152,000","38,650,000","38,945,000","38,144,000","2.43K","-1.36%"
"2023- 05- 06","38,677,000","39,080,000","39,434,000","38,150,000","4.47K","-0.96%"
"2023- 05- 05","39,053,000","38,599,000","39,356,000","38,520,000","5.61K","1.18%"
"2023- 05- 04","38,598,000","38,703,000","39,112,000","38,424,000","4.03K","-0.33%"
"2023- 05- 03","38,726,000","38,410,000","39,050,000","37,813,000","5.24K","0.88%"
"2023- 05- 02","38,390,000","37,750,000","38,680,000","37,428,000","4.77K","1.68%"
"2023- 05- 01","37,754,000","39,118,000","39,299,000","37,373,000","5.47K","-3.49%"
"2023- 04- 30","39,119,000","38,965,000","39,828,000","38,810,000","3.36K","0.36%"
"2023- 04- 29","38,980,000","39,076,000","39,247,000","38,810,000","1.75K","-0.24%"
"2023- 04- 28","39,075,000","39,271,000","39,500,000","38,720,000","3.37K","-0.54%"
"2023- 04- 27","39,289,000","38,020,000","39,721,000","37,960,000","6.53K","3.37%"
"2023- 04- 26","38,008,000","37,877,000","39,849,000","36,813,000","9.86K","0.35%"
"2023- 04- 25","37,877,000","36,745,000","38,119,000","36,361,000","4.36K","3.07%"
"2023- 04- 24","36,750,000","36,803,000","37,273,000","36,208,000","3.66K","-0.14%"
"2023- 04- 23","36,803,000","37,182,000","37,198,000","36,530,000","1.94K","-1.00%"
"2023- 04- 22","37,175,000","36,337,000","37,318,000","36,057,000","3.72K","2.31%"
"2023- 04- 21","36,336,000","37,671,000","37,777,000","36,109,000","5.93K","-3.51%"
"2023- 04- 20","37,658,000","38,295,000","38,569,000","37,400,000","5.52K","-1.69%"
"2023- 04- 19","38,306,000","39,639,000","39,718,000","38,186,000","6.12K","-3.30%"
"2023- 04- 18","39,614,000","38,700,000","39,847,000","38,271,000","4.98K","2.36%"
"2023- 04- 17","38,700,000","39,629,000","39,670,000","38,509,000","5.42K","-2.29%"
"2023- 04- 16","39,607,000","39,801,000","39,958,000","39,600,000","2.39K","-0.49%"
"2023- 04- 15","39,801,000","39,766,000","39,999,000","39,758,000","1.94K","-0.01%"
"2023- 04- 14","39,804,000","39,912,000","40,322,000","39,481,000","5.56K","-0.28%"
"2023- 04- 13","39,915,000","39,699,000","40,198,000","39,691,000","5.17K","0.50%"
"2023- 04- 12","39,718,000","40,002,000","40,587,000","39,579,000","10.65K","-0.72%"
"2023- 04- 11","40,005,000","38,975,000","40,257,000","38,903,000","8.11K","2.64%"
"2023- 04- 10","38,975,000","37,334,000","39,180,000","37,256,000","6.75K","4.40%"
"2023- 04- 09","37,331,000","37,087,000","37,575,000","36,878,000","3.85K","0.72%"
"2023- 04- 08","37,063,000","36,993,000","37,248,000","36,930,000","3.04K","0.19%"
"2023- 04- 07","36,994,000","37,059,000","37,200,000","36,890,000","2.19K","-0.14%"
"2023- 04- 06","37,047,000","37,141,000","37,210,000","36,800,000","3.27K","-0.25%"
"2023- 04- 05","37,140,000","37,207,000","37,800,000","36,948,000","4.80K","-0.17%"
"2023- 04- 04","37,205,000","36,813,000","37,550,000","36,669,000","3.44K","1.04%"
"2023- 04- 03","36,823,000","37,293,000","37,768,000","36,387,000","5.34K","-1.28%"
"2023- 04- 02","37,301,000","37,605,000","37,700,000","37,003,000","3.83K","-0.76%"
"2023- 04- 01","37,585,000","37,528,000","37,950,000","37,450,000","2.92K","0.15%"
"2023- 03- 31","37,530,000","37,157,000","37,771,000","36,596,000","5.86K","1.01%"
"2023- 03- 30","37,156,000","37,402,000","38,423,000","36,805,000","7.06K","-0.65%"
"2023- 03- 29","37,400,000","36,026,000","37,746,000","36,007,000","6.44K","3.81%"
