"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 21","510.0000","505.0000","525.0000","501.0000","47.50M","0.99%"
"2023- 12- 20","505.0000","504.0000","516.0000","485.0000","44.83M","0.60%"
"2023- 12- 19","502.0000","481.0000","505.0000","469.0000","27.66M","4.37%"
"2023- 12- 18","481.0000","483.0000","486.0000","440.0000","35.53M","-0.41%"
"2023- 12- 17","483.0000","501.0000","510.0000","482.0000","24.52M","-3.59%"
"2023- 12- 16","501.0000","498.0000","513.0000","498.0000","19.76M","0.40%"
"2023- 12- 15","499.0000","524.0000","526.0000","496.0000","40.05M","-4.95%"
"2023- 12- 14","525.0000","534.0000","571.0000","507.0000","151.22M","-1.69%"
"2023- 12- 13","534.0000","482.0000","580.0000","475.0000","368.99M","10.79%"
"2023- 12- 12","482.0000","450.0000","506.0000","448.0000","159.01M","7.11%"
"2023- 12- 11","450.0000","474.0000","479.0000","441.0000","36.53M","-5.26%"
"2023- 12- 10","475.0000","477.0000","481.0000","467.0000","19.31M","-0.63%"
"2023- 12- 09","478.0000","479.0000","483.0000","476.0000","25.00M","-0.21%"
"2023- 12- 08","479.0000","475.0000","481.0000","467.0000","20.42M","0.84%"
"2023- 12- 07","475.0000","469.0000","483.0000","457.0000","30.06M","1.28%"
"2023- 12- 06","469.0000","482.0000","485.0000","460.0000","41.24M","-2.49%"
"2023- 12- 05","481.0000","479.0000","499.0000","474.0000","96.08M","0.42%"
"2023- 12- 04","479.0000","441.0000","520.0000","438.0000","355.67M","8.37%"
"2023- 12- 03","442.0000","448.0000","452.0000","433.0000","19.04M","-1.34%"
"2023- 12- 02","448.0000","439.0000","456.0000","438.0000","35.50M","2.05%"
"2023- 12- 01","439.0000","436.0000","442.0000","428.0000","15.83M","0.46%"
"2023- 11- 30","437.0000","458.0000","458.0000","425.0000","39.12M","-4.59%"
"2023- 11- 29","458.0000","476.0000","495.0000","446.0000","84.70M","-3.78%"
"2023- 11- 28","476.0000","488.0000","522.0000","469.0000","218.12M","-2.46%"
"2023- 11- 27","488.0000","444.0000","530.0000","440.0000","403.39M","10.16%"
"2023- 11- 26","443.0000","459.0000","462.0000","440.0000","26.32M","-3.70%"
"2023- 11- 25","460.0000","477.0000","482.0000","449.0000","42.96M","-3.36%"
"2023- 11- 24","476.0000","471.0000","495.0000","454.0000","156.32M","1.06%"
"2023- 11- 23","471.0000","464.0000","503.0000","440.0000","313.60M","1.51%"
"2023- 11- 22","464.0000","383.0000","477.0000","378.0000","171.09M","21.15%"
"2023- 11- 21","383.0000","422.0000","423.0000","382.0000","19.78M","-9.03%"
"2023- 11- 20","421.0000","424.0000","426.0000","418.0000","8.29M","-0.71%"
"2023- 11- 19","424.0000","422.0000","425.0000","413.0000","9.17M","0.47%"
"2023- 11- 18","422.0000","429.0000","436.0000","412.0000","16.47M","-1.63%"
"2023- 11- 17","429.0000","431.0000","433.0000","419.0000","14.15M","-0.23%"
"2023- 11- 16","430.0000","432.0000","440.0000","424.0000","21.03M","-0.46%"
"2023- 11- 15","432.0000","426.0000","434.0000","410.0000","16.34M","1.41%"
"2023- 11- 14","426.0000","440.0000","440.0000","414.0000","19.75M","-3.18%"
"2023- 11- 13","440.0000","441.0000","446.0000","431.0000","29.64M","-0.45%"
"2023- 11- 12","442.0000","426.0000","455.0000","424.0000","87.83M","3.76%"
"2023- 11- 11","426.0000","428.0000","429.0000","414.0000","20.08M","-0.47%"
"2023- 11- 10","428.0000","422.0000","429.0000","414.0000","21.30M","1.42%"
"2023- 11- 09","422.0000","423.0000","435.0000","405.0000","32.26M","-0.24%"
"2023- 11- 08","423.0000","417.0000","425.0000","412.0000","15.08M","1.20%"
"2023- 11- 07","418.0000","424.0000","424.0000","410.0000","13.34M","-1.42%"
"2023- 11- 06","424.0000","417.0000","431.0000","407.0000","24.98M","1.68%"
"2023- 11- 05","417.0000","417.0000","448.0000","407.0000","68.77M","0.00%"
"2023- 11- 04","417.0000","399.0000","417.0000","395.0000","22.89M","4.51%"
"2023- 11- 03","399.0000","404.0000","404.0000","385.0000","15.11M","-1.24%"
"2023- 11- 02","404.0000","402.0000","408.0000","392.0000","24.33M","0.50%"
"2023- 11- 01","402.0000","396.0000","403.0000","384.0000","18.31M","1.52%"
"2023- 10- 31","396.0000","400.0000","417.0000","378.0000","59.11M","-1.00%"
"2023- 10- 30","400.0000","397.0000","400.0000","389.0000","19.33M","0.76%"
"2023- 10- 29","397.0000","380.0000","407.0000","378.0000","63.63M","3.93%"
"2023- 10- 28","382.0000","376.0000","383.0000","371.0000","13.43M","1.60%"
"2023- 10- 27","376.0000","372.0000","387.0000","362.0000","30.54M","1.08%"
"2023- 10- 26","372.0000","372.0000","375.0000","361.0000","14.96M","0.00%"
