"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 06","27,970.0","27,700.0","28,800.0","27,360.0","3.99M","1.01%"
"2023- 12- 05","27,690.0","27,090.0","28,000.0","26,270.0","3.63M","2.25%"
"2023- 12- 04","27,080.0","26,610.0","27,340.0","26,280.0","2.90M","1.77%"
"2023- 12- 03","26,610.0","26,090.0","26,720.0","25,900.0","2.00M","1.99%"
"2023- 12- 02","26,090.0","25,360.0","26,150.0","25,340.0","671.97K","2.84%"
"2023- 12- 01","25,370.0","25,020.0","25,570.0","24,850.0","844.53K","1.40%"
"2023- 11- 30","25,020.0","25,110.0","25,120.0","24,800.0","584.73K","-0.36%"
"2023- 11- 29","25,110.0","25,180.0","25,450.0","24,930.0","657.61K","-0.28%"
"2023- 11- 28","25,180.0","25,070.0","25,400.0","24,450.0","739.29K","0.44%"
"2023- 11- 27","25,070.0","25,620.0","25,710.0","24,600.0","1.05M","-2.07%"
"2023- 11- 26","25,600.0","25,980.0","26,240.0","25,110.0","967.15K","-1.42%"
"2023- 11- 25","25,970.0","25,700.0","26,130.0","25,610.0","696.07K","0.93%"
"2023- 11- 24","25,730.0","25,340.0","26,150.0","25,230.0","1.21M","1.54%"
"2023- 11- 23","25,340.0","25,410.0","25,670.0","25,040.0","784.88K","-0.28%"
"2023- 11- 22","25,410.0","24,450.0","25,800.0","24,450.0","1.30M","3.93%"
"2023- 11- 21","24,450.0","26,080.0","26,250.0","24,310.0","1.64M","-6.25%"
"2023- 11- 20","26,080.0","26,090.0","26,580.0","25,760.0","1.42M","-0.04%"
"2023- 11- 19","26,090.0","25,790.0","26,170.0","25,420.0","848.47K","1.16%"
"2023- 11- 18","25,790.0","26,160.0","26,160.0","24,990.0","1.22M","-1.34%"
"2023- 11- 17","26,140.0","26,020.0","27,040.0","25,170.0","2.40M","0.38%"
"2023- 11- 16","26,040.0","26,710.0","27,970.0","25,690.0","4.73M","-2.58%"
"2023- 11- 15","26,730.0","25,770.0","26,730.0","24,930.0","2.42M","3.73%"
"2023- 11- 14","25,770.0","26,900.0","27,160.0","25,510.0","3.09M","-4.27%"
"2023- 11- 13","26,920.0","26,680.0","28,410.0","26,350.0","5.03M","0.90%"
"2023- 11- 12","26,680.0","26,800.0","27,200.0","25,630.0","2.13M","-0.41%"
"2023- 11- 11","26,790.0","28,060.0","28,070.0","26,190.0","3.98M","-4.49%"
"2023- 11- 10","28,050.0","27,990.0","29,690.0","27,150.0","10.71M","0.29%"
"2023- 11- 09","27,970.0","24,410.0","28,200.0","24,270.0","11.46M","14.63%"
"2023- 11- 08","24,400.0","24,230.0","24,470.0","24,050.0","1.08M","0.74%"
"2023- 11- 07","24,220.0","24,710.0","24,740.0","23,650.0","1.55M","-2.02%"
"2023- 11- 06","24,720.0","24,120.0","25,230.0","23,620.0","3.38M","2.49%"
"2023- 11- 05","24,120.0","23,480.0","24,870.0","23,280.0","3.52M","2.59%"
"2023- 11- 04","23,510.0","23,240.0","23,630.0","23,010.0","1.22M","1.16%"
"2023- 11- 03","23,240.0","23,540.0","23,540.0","22,570.0","1.58M","-1.32%"
"2023- 11- 02","23,550.0","24,130.0","24,380.0","23,000.0","2.30M","-2.40%"
"2023- 11- 01","24,130.0","23,730.0","24,520.0","23,270.0","3.74M","1.69%"
"2023- 10- 31","23,730.0","22,740.0","24,890.0","22,400.0","7.03M","4.31%"
"2023- 10- 30","22,750.0","22,620.0","22,940.0","22,220.0","1.74M","0.57%"
"2023- 10- 29","22,620.0","22,120.0","22,670.0","21,910.0","1.03M","2.26%"
"2023- 10- 28","22,120.0","21,920.0","22,310.0","21,880.0","954.37K","0.91%"
"2023- 10- 27","21,920.0","22,420.0","22,430.0","21,710.0","1.01M","-2.14%"
"2023- 10- 26","22,400.0","22,120.0","23,350.0","21,790.0","3.17M","1.27%"
